app,id,title,rating,num_reviews,genre,family_genre,updated,released,offersiap,frameworks,permissions,trackersettings,Google Firebase,AdID,CalendarRead,CalendarWrite,ContactsRead,ContactsWrite,Bluetooth,Calendar,Camera,Contacts,Location,Microphone,Motion,Analytics
com.elevateapp.elevate,875063456,Elevate - Brain Training Games,4.8,398842,Education,4+,2023-11-21,2014-05-22,TRUE,"['CoreGraphics', 'IOSurface', 'CoreFoundation', 'Foundation', 'Accelerate', 'CFNetwork', 'IOKit', 'Security', 'SystemConfiguration', 'CoreText', 'CoreServices', 'ImageIO', 'Metal', 'MediaAccessibility', 'LocalAuthentication', 'Accounts', 'CoreTelephony', 'CoreData', 'MobileCoreServices', 'UIKit', 'FileProvider', 'QuartzCore', 'Network', 'CoreImage', 'PushKit', 'OpenGLES', 'MediaToolbox', 'UserNotifications', 'CoreVideo', 'MetalPerformanceShaders', 'CoreMedia', 'VideoToolbox', 'CoreAudio', 'CoreMIDI', 'JavaScriptCore', 'NetworkExtension', 'AudioToolbox', 'WebKit', 'Contacts', 'PDFKit', 'ClassKit', 'CloudKit', 'QuickLookThumbnailing', 'CoreLocation', 'CoreBluetooth', 'Intents', 'CoreSpotlight', 'NaturalLanguage', 'CoreML', 'Combine', 'CoreMotion', 'AVFoundation', 'AdSupport', 'StoreKit', 'CryptoKit', 'SafariServices', 'AuthenticationServices', 'ContactsUI', 'PencilKit', 'MediaPlayer', 'MapKit', 'CallKit', 'MetalKit', 'LinkPresentation', 'AVKit', 'ExternalAccessory', 'Vision', 'VideoSubscriberAccount', 'Photos', 'iAd', 'Social', 'AssetsLibrary', 'Twitter', 'AddressBook', 'AddressBookUI', 'GameKit', 'SpriteKit', 'SceneKit', 'GameplayKit', 'GameController', 'ModelIO', 'ReplayKit', 'GLKit', 'OpenAL', 'Messages', 'ARKit', 'CarPlay', 'QuickLook', 'PhotosUI', 'MessageUI', 'IntentsUI', 'SwiftUI', 'GSS', 'VisionKit', 'EventKit', 'EventKitUI', 'HealthKit', 'MetricKit']","['BluetoothPeripheralUsage', 'LocationAlwaysUsage', 'LocationWhenInUseUsage', 'PhotoLibraryAddUsage', 'PhotoLibraryUsage', 'UserTrackingUsage']",[],TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
com.duolingo.DuolingoMobile,570060128,Duolingo - Language Lessons,4.7,2234127,Education,4+,2023-11-13,2012-11-13,TRUE,"['AVFoundation', 'Foundation', 'AudioToolbox', 'Accelerate', 'CoreFoundation', 'CFNetwork', 'IOKit', 'Security', 'SystemConfiguration', 'IOSurface', 'CoreMIDI', 'CoreServices', 'CoreGraphics', 'ImageIO', 'Metal', 'CoreText', 'MediaAccessibility', 'MobileCoreServices', 'CoreMedia', 'CoreAudio', 'QuartzCore', 'CoreVideo', 'MetalPerformanceShaders', 'OpenGLES', 'MediaToolbox', 'VideoToolbox', 'CoreImage', 'CoreTelephony', 'CoreMotion', 'Accounts', 'CoreData', 'AdSupport', 'UserNotifications', 'iAd', 'StoreKit', 'AVKit', 'UIKit', 'CryptoKit', 'FileProvider', 'Network', 'PushKit', 'JavaScriptCore', 'NetworkExtension', 'LocalAuthentication', 'CoreLocation', 'CoreSpotlight', 'CoreBluetooth', 'Combine', 'CloudKit', 'NaturalLanguage', 'CoreML', 'Intents', 'SafariServices', 'AuthenticationServices', 'QuickLookThumbnailing', 'ContactsUI', 'PencilKit', 'MediaPlayer', 'MapKit', 'Contacts', 'WebKit', 'ClassKit', 'CallKit', 'PDFKit', 'MetalKit', 'LinkPresentation', 'ExternalAccessory', 'Vision', 'VideoSubscriberAccount', 'Photos', 'QuickLook', 'Social', 'AssetsLibrary', 'MetricKit', 'GameplayKit', 'SpriteKit', 'SceneKit', 'GLKit', 'OpenAL', 'ModelIO', 'SwiftUI', 'MessageUI', 'VisionKit', 'GSS', 'EventKit', 'DeviceCheck', 'Speech', 'BackgroundTasks']","['CameraUsage', 'ContactsUsage', 'LocationWhenInUseUsage', 'MicrophoneUsage', 'PhotoLibraryAddUsage', 'PhotoLibraryUsage', 'SpeechRecognitionUsage', 'UserTrackingUsage']",[],TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
de.knowunity.app,1484296272,Knowunity: School Study Helper,4.7,2653,Education,4+,2023-11-21,2020-09-10,TRUE,"['AVFoundation', 'Foundation', 'AudioToolbox', 'CoreFoundation', 'CFNetwork', 'Security', 'SystemConfiguration', 'CoreGraphics', 'MobileCoreServices', 'CoreMedia', 'CoreAudio', 'QuartzCore', 'CoreVideo', 'CoreTelephony', 'CoreMotion', 'CoreData', 'UIKit', 'JavaScriptCore', 'AdSupport', 'SafariServices', 'MediaPlayer', 'WebKit', 'StoreKit']","['CalendarsUsage', 'CameraUsage', 'ContactsUsage', 'LocationWhenInUseUsage', 'MicrophoneUsage', 'PhotoLibraryUsage', 'SpeechRecognitionUsage']",[],TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
com.dpmapps.supernova,1599756543,Clever: Brain Logic Training,4.7,13911,Education,4+,2023-11-13,2022-04-04,TRUE,"['UIKit', 'FileProvider', 'Foundation', 'ImageIO', 'QuartzCore', 'CoreServices', 'Network', 'CoreGraphics', 'CoreFoundation', 'CoreImage', 'Security', 'CoreText', 'PushKit', 'IOSurface', 'OpenGLES', 'IOKit', 'MediaToolbox', 'Accelerate', 'CFNetwork', 'UserNotifications', 'MediaAccessibility', 'SystemConfiguration', 'Metal', 'MobileCoreServices', 'CoreVideo', 'MetalPerformanceShaders', 'CoreMedia', 'VideoToolbox', 'CoreAudio', 'CoreMIDI', 'JavaScriptCore', 'NetworkExtension', 'AudioToolbox', 'CoreTelephony', 'Accounts', 'CoreData', 'StoreKit', 'CryptoKit', 'LocalAuthentication', 'AVFoundation', 'CoreLocation', 'CoreMotion', 'CoreSpotlight', 'CoreBluetooth', 'Combine', 'CloudKit', 'NaturalLanguage', 'CoreML', 'Intents', 'AVKit', 'AdSupport', 'AuthenticationServices', 'CallKit', 'WebKit', 'Contacts', 'PDFKit', 'ClassKit', 'QuickLookThumbnailing', 'GameKit', 'SpriteKit', 'SceneKit', 'GameplayKit', 'GameController', 'ModelIO', 'ReplayKit', 'Vision', 'Photos', 'GLKit', 'OpenAL', 'MetalKit', 'Messages', 'ARKit', 'LinkPresentation', 'AddressBook', 'CarPlay', 'QuickLook', 'ContactsUI', 'PhotosUI', 'MessageUI', 'MediaPlayer', 'IntentsUI', 'ExternalAccessory', 'MapKit', 'SwiftUI', 'PencilKit', 'Social', 'AssetsLibrary', 'GSS', 'VisionKit', 'EventKit', 'SafariServices', 'VideoSubscriberAccount', 'EventKitUI', 'HealthKit', 'MetricKit']","['CalendarsUsage', 'LocationWhenInUseUsage', 'UserTrackingUsage']",[],TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
com.microblink.PhotoMath,919087726,Photomath,4.8,676935,Education,4+,2023-11-05,2014-10-17,TRUE,"['UIKit', 'FileProvider', 'Foundation', 'ImageIO', 'QuartzCore', 'CoreServices', 'Network', 'CoreGraphics', 'CoreFoundation', 'CoreImage', 'Security', 'CoreText', 'PushKit', 'IOSurface', 'OpenGLES', 'IOKit', 'MediaToolbox', 'Accelerate', 'CFNetwork', 'UserNotifications', 'MediaAccessibility', 'SystemConfiguration', 'Metal', 'MobileCoreServices', 'CoreVideo', 'MetalPerformanceShaders', 'CoreMedia', 'VideoToolbox', 'CoreAudio', 'CoreMIDI', 'JavaScriptCore', 'NetworkExtension', 'AudioToolbox', 'CoreTelephony', 'Accounts', 'CoreData', 'StoreKit', 'CryptoKit', 'LocalAuthentication', 'AVFoundation', 'CoreLocation', 'CoreMotion', 'CoreSpotlight', 'CoreBluetooth', 'Combine', 'CloudKit', 'NaturalLanguage', 'CoreML', 'Intents', 'iAd', 'AVKit', 'WebKit', 'Contacts', 'PDFKit', 'ClassKit', 'QuickLookThumbnailing', 'SafariServices', 'AuthenticationServices', 'ContactsUI', 'PencilKit', 'MediaPlayer', 'MapKit', 'CallKit', 'MetalKit', 'LinkPresentation', 'ExternalAccessory', 'Vision', 'VideoSubscriberAccount', 'Photos', 'Social', 'AssetsLibrary', 'MessageUI', 'VisionKit', 'GSS', 'EventKit', 'AdSupport', 'MetricKit', 'SwiftUI']","['CameraUsage', 'PhotoLibraryUsage']",[],TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
com.mtmapping.onxhunt,672902340,onX Hunt: GPS Hunting Maps,4.9,155579,Navigation,4+,2023-10-31,2013-08-07,TRUE,"['Accelerate', 'Security', 'Foundation', 'CoreFoundation', 'IOKit', 'CFNetwork', 'SystemConfiguration', 'IOSurface', 'UIKit', 'FileProvider', 'ImageIO', 'QuartzCore', 'CoreServices', 'Network', 'CoreGraphics', 'CoreImage', 'CoreText', 'PushKit', 'OpenGLES', 'MediaToolbox', 'UserNotifications', 'MediaAccessibility', 'Metal', 'MobileCoreServices', 'CoreVideo', 'MetalPerformanceShaders', 'CoreMedia', 'VideoToolbox', 'CoreAudio', 'CoreMIDI', 'JavaScriptCore', 'NetworkExtension', 'AudioToolbox', 'CoreTelephony', 'Accounts', 'CoreData', 'WebKit', 'Contacts', 'PDFKit', 'LocalAuthentication', 'ClassKit', 'CloudKit', 'QuickLookThumbnailing', 'CoreLocation', 'CoreBluetooth', 'Intents', 'CoreSpotlight', 'NaturalLanguage', 'CoreML', 'StoreKit', 'CryptoKit', 'AVFoundation', 'CoreMotion', 'Combine', 'Photos', 'QuickLook', 'MediaPlayer', 'AVKit', 'Vision', 'MessageUI', 'ContactsUI', 'PencilKit', 'VisionKit', 'GSS', 'CallKit', 'EventKit', 'MetalKit', 'CarPlay', 'MapKit', 'ExternalAccessory', 'AuthenticationServices', 'AdSupport', 'DeviceCheck', 'BackgroundTasks', 'LinkPresentation', 'MetricKit', 'SafariServices', 'VideoSubscriberAccount', 'SwiftUI', 'ModelIO', 'PhotosUI', 'Social', 'AssetsLibrary', 'Speech']","['InWebContent', 'AllowsLocalNetworking', 'BluetoothAlwaysUsage', 'BluetoothPeripheralUsage', 'CalendarsUsage', 'CameraUsage', 'FaceIDUsage', 'LocationAlwaysAndWhenInUseUsage', 'LocationAlwaysUsage', 'LocationWhenInUseUsage', 'MicrophoneUsage', 'MotionUsage', 'PhotoLibraryUsage', 'UserTrackingUsage']",[],TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
com.fanduel.sportsbook,1413721906,FanDuel Sportsbook & Casino,4.8,1209919,Sports,17+,2023-11-14,2018-09-02,FALSE,"['AVFoundation', 'Foundation', 'AudioToolbox', 'Accelerate', 'CoreFoundation', 'CFNetwork', 'IOKit', 'Security', 'SystemConfiguration', 'IOSurface', 'CoreMIDI', 'CoreServices', 'CoreGraphics', 'ImageIO', 'Metal', 'CoreText', 'MediaAccessibility', 'MobileCoreServices', 'CoreMedia', 'CoreAudio', 'QuartzCore', 'CoreVideo', 'MetalPerformanceShaders', 'OpenGLES', 'MediaToolbox', 'VideoToolbox', 'CoreImage', 'CoreTelephony', 'CoreMotion', 'Accounts', 'CoreData', 'AdSupport', 'UserNotifications', 'CoreBluetooth', 'CoreLocation', 'UIKit', 'FileProvider', 'Network', 'PushKit', 'JavaScriptCore', 'NetworkExtension', 'CoreNFC', 'CryptoKit', 'LocalAuthentication', 'Combine', 'StoreKit', 'CoreSpotlight', 'CloudKit', 'NaturalLanguage', 'CoreML', 'Intents', 'Vision', 'Contacts', 'ClassKit', 'QuickLookThumbnailing', 'AuthenticationServices', 'CallKit', 'WebKit', 'PDFKit', 'SafariServices', 'ContactsUI', 'PencilKit', 'MediaPlayer', 'MapKit', 'MetalKit', 'LinkPresentation', 'AVKit', 'ExternalAccessory', 'VideoSubscriberAccount', 'QuickLook', 'Photos', 'Social', 'AssetsLibrary', 'DeviceCheck', 'EventKit', 'MessageUI', 'VisionKit', 'GSS', 'SwiftUI']","['AllowsLocalNetworking', 'BluetoothAlwaysUsage', 'BluetoothPeripheralUsage', 'CalendarsUsage', 'CameraUsage', 'FaceIDUsage', 'LocationAlwaysAndWhenInUseUsage', 'LocationAlwaysUsage', 'LocationWhenInUseUsage', 'MicrophoneUsage', 'MotionUsage', 'PhotoLibraryUsage', 'UserTrackingUsage']",[],TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
com.draftkings.sportsbook,1375031369,DraftKings Sportsbook & Casino,4.8,620014,Sports,17+,2023-11-06,2018-08-03,FALSE,"['Foundation', 'CoreFoundation', 'CFNetwork', 'Security', 'SystemConfiguration', 'AVFoundation', 'AudioToolbox', 'CoreGraphics', 'MobileCoreServices', 'CoreMedia', 'CoreAudio', 'QuartzCore', 'CoreVideo', 'CoreTelephony', 'CoreMotion', 'CoreData', 'UIKit', 'JavaScriptCore', 'SafariServices', 'MediaPlayer', 'WebKit', 'AdSupport', 'MessageUI', 'StoreKit']","['AppleMusicUsage', 'BluetoothAlwaysUsage', 'BluetoothPeripheralUsage', 'CalendarsUsage', 'CameraUsage', 'ContactsUsage', 'FaceIDUsage', 'LocationAlwaysAndWhenInUseUsage', 'LocationAlwaysUsage', 'LocationUsage', 'LocationWhenInUseUsage', 'MicrophoneUsage', 'PhotoLibraryUsage', 'SiriUsage', 'UserTrackingUsage']",[],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
com.nfl.gamecenter,389781154,NFL,4.5,404491,Sports,4+,2023-11-22,2010-09-10,TRUE,"['AVFoundation', 'Foundation', 'AudioToolbox', 'Accelerate', 'CoreFoundation', 'CFNetwork', 'IOKit', 'Security', 'SystemConfiguration', 'IOSurface', 'CoreMIDI', 'CoreServices', 'CoreGraphics', 'ImageIO', 'Metal', 'CoreText', 'MediaAccessibility', 'MobileCoreServices', 'CoreMedia', 'CoreAudio', 'QuartzCore', 'CoreVideo', 'MetalPerformanceShaders', 'OpenGLES', 'MediaToolbox', 'VideoToolbox', 'CoreImage', 'CoreTelephony', 'CoreMotion', 'Accounts', 'CoreData', 'AdSupport', 'UserNotifications', 'UIKit', 'FileProvider', 'Network', 'PushKit', 'JavaScriptCore', 'NetworkExtension', 'CoreLocation', 'CoreBluetooth', 'GLKit', 'MediaPlayer', 'LocalAuthentication', 'CloudKit', 'AVKit', 'SafariServices', 'AuthenticationServices', 'QuickLookThumbnailing', 'ContactsUI', 'PencilKit', 'MapKit', 'Contacts', 'WebKit', 'Intents', 'CoreSpotlight', 'ClassKit', 'CallKit', 'PDFKit', 'NaturalLanguage', 'CoreML', 'Combine', 'MetalKit', 'LinkPresentation', 'ExternalAccessory', 'Vision', 'VideoSubscriberAccount', 'StoreKit', 'CryptoKit', 'DeviceCheck', 'MessageUI', 'VisionKit', 'Photos', 'GSS', 'EventKit', 'SwiftUI', 'AssetsLibrary', 'ARKit', 'ReplayKit', 'SceneKit', 'SpriteKit', 'ModelIO', 'OpenAL', 'MetricKit', 'QuickLook', 'EventKitUI', 'AddressBook', 'CarPlay', 'PhotosUI', 'IntentsUI', 'Social', 'PassKit', 'MultipeerConnectivity', 'Messages']","['BluetoothAlwaysUsage', 'BluetoothPeripheralUsage', 'CalendarsUsage', 'CameraUsage', 'ContactsUsage', 'LocalNetworkUsage', 'LocationAlwaysAndWhenInUseUsage', 'LocationWhenInUseUsage', 'MicrophoneUsage', 'PhotoLibraryAddUsage', 'PhotoLibraryUsage', 'RemindersUsage', 'UserTrackingUsage', 'VideoSubscriberAccountUsage']",[],TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
com.espn.ScoreCenter,317469184,ESPN: Live Sports & Scores,4.6,2794220,Sports,4+,2023-11-14,2009-06-02,TRUE,"['CFNetwork', 'CoreFoundation', 'IOKit', 'Security', 'SystemConfiguration', 'Foundation', 'IOSurface', 'Combine', 'CoreGraphics', 'Accelerate', 'CoreMedia', 'CoreAudio', 'CoreVideo', 'ImageIO', 'Metal', 'MobileCoreServices', 'CoreServices', 'CoreMIDI', 'CoreText', 'MediaAccessibility', 'OpenGLES', 'AVFoundation', 'AudioToolbox', 'QuartzCore', 'MetalPerformanceShaders', 'MediaToolbox', 'VideoToolbox', 'CoreImage', 'CoreTelephony', 'CoreMotion', 'Accounts', 'CoreData', 'AdSupport', 'UserNotifications', 'UIKit', 'FileProvider', 'Network', 'PushKit', 'JavaScriptCore', 'NetworkExtension', 'CoreLocation', 'CoreBluetooth', 'NaturalLanguage', 'CoreML', 'CloudKit', 'Intents', 'LocalAuthentication', 'WebKit', 'Contacts', 'PDFKit', 'ClassKit', 'QuickLookThumbnailing', 'CoreSpotlight', 'MediaPlayer', 'MultipeerConnectivity', 'StoreKit', 'CryptoKit', 'GameController', 'ReplayKit', 'HealthKit', 'EventKit', 'GSS', 'Vision', 'Photos', 'AVKit', 'SafariServices', 'AuthenticationServices', 'ContactsUI', 'PencilKit', 'MapKit', 'CallKit', 'MetalKit', 'LinkPresentation', 'ExternalAccessory', 'VideoSubscriberAccount', 'iAd', 'SwiftUI', 'GameplayKit', 'SpriteKit', 'SceneKit', 'GLKit', 'OpenAL', 'ModelIO', 'MessageUI', 'VisionKit', 'Social', 'AssetsLibrary', 'WatchConnectivity', 'QuickLook', 'ARKit', 'EventKitUI', 'AddressBook', 'CarPlay', 'PhotosUI', 'IntentsUI', 'PassKit', 'Messages']","['BluetoothAlwaysUsage', 'BluetoothPeripheralUsage', 'CalendarsUsage', 'FaceIDUsage', 'LocalNetworkUsage', 'LocationWhenInUseUsage', 'MicrophoneUsage', 'PhotoLibraryAddUsage', 'PhotoLibraryUsage', 'UserTrackingUsage', 'VideoSubscriberAccountUsage']",[],FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
