App Name,Domain Counts
Duolingo,facebook.com (5); doubleclick.net (15); recaptcha.net (2); unity3d.com (56); googleadservices.com (4); googlesyndication.com (3); googleusercontent.com (2); adjust.com (2); apple.com (11); mzstatic.com (1); googletagservices.com (1); googlevideo.com (1); gstatic.com (4)
weatherforecast,apple.com (53); doubleclick.net (44); googlesyndication.com (39); googleusercontent.com (9); googletagservices.com (3); googleadservices.com (10); gstatic.com (14); mzstatic.com (7); optimizely.com (3); googletagmanager.com (3); hotjar.com (2); taboola.com (7); google-analytics.com (3); google.com (8); liadm.com (3); postrelease.com (1); outbrain.com (4); facebook.net (2); bing.com (3); facebook.com (1); intentiq.com (3)
NFL,onesignal.com (5); apple.com (25); google.com (24); demdex.net (3); adobedtm.com (4); nfl.com (1013); doubleclick.net (40); omtrdc.net (13); kochava.com (5); onetrust.io (1); cookielaw.org (6); scorecardresearch.com (3); googlesyndication.com (48); googletagservices.com (3); 2mdn.net (17); adsafeprotected.com (56); doubleverify.com (9); shoprunner.com (1); googletagmanager.com (3); frgapps.com (12); ads-twitter.com (1); t.co (1); twitter.com (1); foresee.com (3); rtactivate.com (1); go-mpulse.net (2); conviva.com (4); lura.live (2); theoplayer.com (1); akstat.io (1); truste.com (2); cloudflare.com (2); trustarc.com (6); connextra.com (8); dotomi.com (1); mediaplex.com (1); betgenius.com (31)
onXHunt,facebook.com (13); split.io (12); branch.io (3); mparticle.com (10); apple.com (16); kochava.com (8); braze.com (26); onxmaps.com (1148); mapbox.com (6)
Chevron.com,apple.com (42); kochava.com (12); google-analytics.com (1)
Wordle,onesignal.com (4); facebook.com (6); apple.com (12); amazon-adsystem.com (6); unity3d.com (5); ssacdn.com (2); doubleclick.net (3); adjust.com (32); mzstatic.com (1); smaato.net (1); bytegoofy.com (1); linkedin.com (1)
Cars.com,rudderlabs.com (1); mparticle.com (15); apple.com (97); iterable.com (4); apptentive.com (35); demdex.net (4); appsflyer.com (10); doubleclick.net (13); rudderstack.com (32); googlesyndication.com (14); googletagservices.com (2); moatads.com (13); impactradius-go.com (2); scorecardresearch.com (1); pxf.io (1); gstatic.com (2); createjs.com (1)
WeatherNow,apple.com (78); google.com (3); doubleclick.net (23); googlesyndication.com (30); googletagservices.com (1); 2mdn.net (2); casalemedia.com (4); adnxs.com (4); rainviewer.com (200); gstatic.com (1); googleusercontent.com (1); googleadservices.com (3)
ESPN,espn.com (92); google.com (8); espncdn.com (186); bamgrid.com (6); onetrust.io (1); cintnetworks.com (1); apple.com (12); newrelic.com (5); go.com (7); demdex.net (2); adobedtm.com (5); cookielaw.org (16); adobe.com (2); fn-pz.com (17); gstatic.com (9); braze.com (7); nmrodam.com (34); kochava.com (8); doubleclick.net (67); googletagservices.com (7); googlesyndication.com (53); webcontentassessor.com (2); moatads.com (138); revjet.com (21); researchnow.com (2); agkn.com (4); insightexpressai.com (2); imrworldwide.com (4); adsafeprotected.com (4); scorecardresearch.com (8); cloudflare.com (3); fonts.net (3); samba.tv (2); doubleverify.com (45); casalemedia.com (4); adnxs.com (4); 2mdn.net (3); openx.net (6); teads.tv (3); tremorhub.com (1); espn.net (71); rubiconproject.com (5); jsdelivr.net (1); googletagmanager.com (1); placed.com (1); adsrvr.org (4); tapad.com (1); truste.com (1); taboola.com (23); criteo.com (2); appsflyer.com (2); 3lift.com (2); contextweb.com (1); pubmatic.com (1); mfadsrvr.com (2); mediago.io (1); sitescout.com (2); bidswitch.net (1); postrelease.com (1); smartadserver.com (1); storygize.net (2); intentiq.com (3); id5-sync.com (2); socdm.com (1); conviva.com (6); omtrdc.net (24); innovid.com (48); ispot.tv (1)
AutoZone,tiqcdn.com (20); onetrust.io (1); qualtrics.com (15); google.com (5); cookielaw.org (6); dynatrace.com (6); demdex.net (2); monetate.net (24); certona.net (1); go-mpulse.net (2); gstatic.com (1); googletagmanager.com (4); google-analytics.com (2); shoplocal.com (13); bazaarvoice.com (2)
CARFAX,apptentive.com (11); facebook.com (9); adobedtm.com (2); demdex.net (4); iterable.com (1); apple.com (11); optimizely.com (11); carfax.com (46); branch.io (6); onetrust.io (1); cookielaw.org (6); auth0.com (1); gstatic.com (2); ispot.tv (3)
Knowunity,apple.com (39); adjust.com (5); google.com (3); googleusercontent.com (1); youtube.com (1)
Photomath,apple.com (15); split.io (5); facebook.com (7); branch.io (2); mparticle.com (5); kochava.com (2); braze.com (1)
