App Name,Domain,Count
Duolingo,facebook.com,5
Duolingo,doubleclick.net,15
Duolingo,recaptcha.net,2
Duolingo,unity3d.com,56
Duolingo,googleadservices.com,4
Duolingo,googlesyndication.com,3
Duolingo,googleusercontent.com,2
Duolingo,adjust.com,2
Duolingo,apple.com,11
Duolingo,mzstatic.com,1
Duolingo,googletagservices.com,1
Duolingo,googlevideo.com,1
Duolingo,gstatic.com,4
weatherforecast,apple.com,53
weatherforecast,doubleclick.net,44
weatherforecast,googlesyndication.com,39
weatherforecast,googleusercontent.com,9
weatherforecast,googletagservices.com,3
weatherforecast,googleadservices.com,10
weatherforecast,gstatic.com,14
weatherforecast,mzstatic.com,7
weatherforecast,optimizely.com,3
weatherforecast,googletagmanager.com,3
weatherforecast,hotjar.com,2
weatherforecast,taboola.com,7
weatherforecast,google-analytics.com,3
weatherforecast,google.com,8
weatherforecast,liadm.com,3
weatherforecast,postrelease.com,1
weatherforecast,outbrain.com,4
weatherforecast,facebook.net,2
weatherforecast,bing.com,3
weatherforecast,facebook.com,1
weatherforecast,intentiq.com,3
NFL,onesignal.com,5
NFL,apple.com,25
NFL,google.com,24
NFL,demdex.net,3
NFL,adobedtm.com,4
NFL,nfl.com,1013
NFL,doubleclick.net,40
NFL,omtrdc.net,13
NFL,kochava.com,5
NFL,onetrust.io,1
NFL,cookielaw.org,6
NFL,scorecardresearch.com,3
NFL,googlesyndication.com,48
NFL,googletagservices.com,3
NFL,2mdn.net,17
NFL,adsafeprotected.com,56
NFL,doubleverify.com,9
NFL,shoprunner.com,1
NFL,googletagmanager.com,3
NFL,frgapps.com,12
NFL,ads-twitter.com,1
NFL,t.co,1
NFL,twitter.com,1
NFL,foresee.com,3
NFL,rtactivate.com,1
NFL,go-mpulse.net,2
NFL,conviva.com,4
NFL,lura.live,2
NFL,theoplayer.com,1
NFL,akstat.io,1
NFL,truste.com,2
NFL,cloudflare.com,2
NFL,trustarc.com,6
NFL,connextra.com,8
NFL,dotomi.com,1
NFL,mediaplex.com,1
NFL,betgenius.com,31
onXHunt,facebook.com,13
onXHunt,split.io,12
onXHunt,branch.io,3
onXHunt,mparticle.com,10
onXHunt,apple.com,16
onXHunt,kochava.com,8
onXHunt,braze.com,26
onXHunt,onxmaps.com,1148
onXHunt,mapbox.com,6
Chevron.com,apple.com,42
Chevron.com,kochava.com,12
Chevron.com,google-analytics.com,1
Wordle,onesignal.com,4
Wordle,facebook.com,6
Wordle,apple.com,12
Wordle,amazon-adsystem.com,6
Wordle,unity3d.com,5
Wordle,ssacdn.com,2
Wordle,doubleclick.net,3
Wordle,adjust.com,32
Wordle,mzstatic.com,1
Wordle,smaato.net,1
Wordle,bytegoofy.com,1
Wordle,linkedin.com,1
Cars.com,rudderlabs.com,1
Cars.com,mparticle.com,15
Cars.com,apple.com,97
Cars.com,iterable.com,4
Cars.com,apptentive.com,35
Cars.com,demdex.net,4
Cars.com,appsflyer.com,10
Cars.com,doubleclick.net,13
Cars.com,rudderstack.com,32
Cars.com,googlesyndication.com,14
Cars.com,googletagservices.com,2
Cars.com,moatads.com,13
Cars.com,impactradius-go.com,2
Cars.com,scorecardresearch.com,1
Cars.com,pxf.io,1
Cars.com,gstatic.com,2
Cars.com,createjs.com,1
WeatherNow,apple.com,78
WeatherNow,google.com,3
WeatherNow,doubleclick.net,23
WeatherNow,googlesyndication.com,30
WeatherNow,googletagservices.com,1
WeatherNow,2mdn.net,2
WeatherNow,casalemedia.com,4
WeatherNow,adnxs.com,4
WeatherNow,rainviewer.com,200
WeatherNow,gstatic.com,1
WeatherNow,googleusercontent.com,1
WeatherNow,googleadservices.com,3
ESPN,espn.com,92
ESPN,google.com,8
ESPN,espncdn.com,186
ESPN,bamgrid.com,6
ESPN,onetrust.io,1
ESPN,cintnetworks.com,1
ESPN,apple.com,12
ESPN,newrelic.com,5
ESPN,go.com,7
ESPN,demdex.net,2
ESPN,adobedtm.com,5
ESPN,cookielaw.org,16
ESPN,adobe.com,2
ESPN,fn-pz.com,17
ESPN,gstatic.com,9
ESPN,braze.com,7
ESPN,nmrodam.com,34
ESPN,kochava.com,8
ESPN,doubleclick.net,67
ESPN,googletagservices.com,7
ESPN,googlesyndication.com,53
ESPN,webcontentassessor.com,2
ESPN,moatads.com,138
ESPN,revjet.com,21
ESPN,researchnow.com,2
ESPN,agkn.com,4
ESPN,insightexpressai.com,2
ESPN,imrworldwide.com,4
ESPN,adsafeprotected.com,4
ESPN,scorecardresearch.com,8
ESPN,cloudflare.com,3
ESPN,fonts.net,3
ESPN,samba.tv,2
ESPN,doubleverify.com,45
ESPN,casalemedia.com,4
ESPN,adnxs.com,4
ESPN,2mdn.net,3
ESPN,openx.net,6
ESPN,teads.tv,3
ESPN,tremorhub.com,1
ESPN,espn.net,71
ESPN,rubiconproject.com,5
ESPN,jsdelivr.net,1
ESPN,googletagmanager.com,1
ESPN,placed.com,1
ESPN,adsrvr.org,4
ESPN,tapad.com,1
ESPN,truste.com,1
ESPN,taboola.com,23
ESPN,criteo.com,2
ESPN,appsflyer.com,2
ESPN,3lift.com,2
ESPN,contextweb.com,1
ESPN,pubmatic.com,1
ESPN,mfadsrvr.com,2
ESPN,mediago.io,1
ESPN,sitescout.com,2
ESPN,bidswitch.net,1
ESPN,postrelease.com,1
ESPN,smartadserver.com,1
ESPN,storygize.net,2
ESPN,intentiq.com,3
ESPN,id5-sync.com,2
ESPN,socdm.com,1
ESPN,conviva.com,6
ESPN,omtrdc.net,24
ESPN,innovid.com,48
ESPN,ispot.tv,1
AutoZone,tiqcdn.com,20
